Id;Default
10;Total active alarms
411;Tray ID
3571;Trayfeeder courtain signal interupted
3;Trayfeeder courtain signal interupted while initialization
109;Trayfeeder home
513;Trayfeeder initialization
1629;Update recipes
1902;Use Adapter
1832;UTU 1
458;UTU 2
124;UTU 3
800;UTU 4
236;UTU 5
779;UTU 6
59;UTU 7
687;UTU 8
342;UTU Device 1
668;UTU Device 2
5;UTU Device 3
1708;UTU Device 4
1132;UTU Device 5
48;UTU Device 6
1515;UTU Device 7
948;UTU Device 8
1334;Velocity:
2437;Vision system
322;[%s/s]
374;[%s]
